MLBCODE,full_name
115797,Pat Hentgen
116595,Jason Johnson
406402,Jorge Julio
150459,Jose Leon
117922,Luis Lopez
150438,Rodrigo Lopez
118130,Calvin Maduro
275928,Luis Matos
150439,Gary Matthews
206551,Melvin Mora
150225,Mike Moriarty
120417,Yorkis Perez
132260,Sidney Ponson
276537,Chris Richard
150199,Willis Roberts
406878,Brian Roberts
407855,Ed Rogers
124805,B.J. Ryan
121977,David Segui
150334,Chris Singleton
122754,John Stephenson
346869,Josh Towers
235094,Juan Alvarez
150174,Rob Bell
276542,Joaquin Benoit
408213,Hank Blalock
112131,Frank Catalanotto
150188,Francisco Cordero
150277,Doug Davis
113946,Carl Everett
114932,Juan Gonzalez
115103,Todd Greene
115114,Rusty Greer
400098,Travis Hafner
400071,Jason Hart
115587,Bill Haselman
116075,Todd Hollandsworth
150285,Danny Kolb
420684,Ben Kozlowski
150286,Mike Lamb
407890,Colby Lewis
407886,Ryan Ludwick
407891,Kevin Mench
150329,Aaron Myette
120191,Rafael Palmeiro
120221,Chan Ho Park
120440,Herb Perry
120717,Jay Powell
121096,Dennys Reyes
121252,Ruben Rivera
121358,Ivan Rodriguez
121347,Alex Rodriguez
121386,Kenny Rogers
123650,Todd Van Poppel
276545,Michael Young
133742,Benny Agbayani
110262,Shane Andrews
134361,Rolando Arrojo
110427,Carlos Baerga
110536,Willie Banks
111734,John Burkett
112113,Frank Castillo
112316,Tony Clark
113028,Johnny Damon
136766,Brian Daubach
113833,Alan Embree
114260,Cliff Floyd
407154,Casey Fossum
114596,Nomar Garciaparra
114908,Wayne Gomes
407820,Josh Hancock
115415,Chris Haney
115749,Rickey Henderson
115812,Dustin Hermanson
150167,Shea Hillenbrand
133982,Bob Howry
117955,Derek Lowe
118377,Pedro Martinez
134265,Lou Merloni
119182,Doug Mirabelli
119811,Trot Nixon
119984,Darren Oliver
136730,Calvin Pickering
120903,Manny Ramirez
121663,Rey Sanchez
408108,Freddy Sanchez
123584,Ugueth Urbina
123660,Jason Varitek
123801,Tim Wakefield
346793,Jeremy Affeldt
110136,Luis Alicea
407900,Miguel Asencio
406953,Jeff Austin
136860,Carlos Beltran
407356,Brandon Berger
407556,Angel Berroa
150202,Dee Brown
424426,Ryan Bukvich
111838,Paul Byrd
136866,Carlos Febles
150203,Chris George
346796,Alexis Gomez
115169,Jason Grimsley
408224,Aaron Guiel
115832,Roberto Hernandez
424465,Runelvys Hernandez
150204,Jeremy Hill
134460,A.J. Hinch
116380,Raul Ibanez
117197,Chuck Knoblauch
213680,Mike MacDougal
118469,Darrell May
118490,Brent Mayne
150206,Scott Mullen
425286,Wes Obermueller
408227,Kit Pellow
120413,Neifi Perez
240494,Mark Quinn
120922,Joe Randa
150209,Dan Reichert
424184,Shawn Sedlacek
133121,Blake Stein
122987,Jeff Suppan
123041,Mike Sweeney
123494,Michael Tucker
400143,Brad Voyles
330892,Kris Wilson
110032,Juan Acevedo
150183,Matt Anderson
333293,Adam Bernero
407857,Jason Beverlin
407074,Nate Cornejo
113702,Damion Easley
425166,Eric Eckenstahler
407906,Jeff Farnsworth
137001,Robert Fick
407883,Franklyn German
133960,Seth Greisinger
115370,Shane Halter
115780,Oscar Henriquez
115915,Bobby Higginson
408299,Omar Infante
276346,Brandon Inge
116423,Damian Jackson
117769,Jose Lima
136601,George Lombard
400076,Shane Loux
118136,Wendell Magee
400077,Mike Maroth
136581,Mitch Meluskey
407155,Craig Monroe
276347,Eric Munson
120194,Dean Palmer
120202,Jose Paniagua
120214,Craig Paquette
150289,Carlos Pena
120419,Matt Perisho
150064,Brian Powell
150230,Mark Redman
407576,Mike Rivera
407845,Fernando Rodney
121690,Julio Santana
421124,Ramon Santiago
122251,Randall Simon
122562,Steve Sparks
400083,Andres Torres
150067,Chris Truby
407843,Andy Van Hekken
123803,Matt Walbeck
123828,Jamie Walker
