season,player,pitch_type,total_times,swin_time,single,double,triple,home_run,score
2010,135783,CH,39,12,0,0,0,1,0.17500000000000002
2010,135783,CT,16,9,1,0,0,0,0.09888888888888887
2010,135783,FB,314,139,13,1,0,5,0.1679136690647482
2010,135783,SL,74,37,7,0,0,2,0.2818918918918919
2010,135784,CB,159,60,8,3,0,0,0.18216666666666667
2010,135784,CH,195,105,12,3,0,0,0.138
2010,135784,CT,72,37,4,0,0,0,0.09621621621621622
2010,135784,FB,1425,615,91,20,2,6,0.1987479674796748
2010,135784,KN,38,19,1,0,0,0,0.046842105263157886
2010,135784,SF,28,14,0,1,0,0,0.09071428571428572
2010,135784,SL,318,155,17,2,0,0,0.114
2010,136263,CH,2,2,0,0,0,0,0.1407142857142857
2010,136263,FB,5,4,0,0,0,0,0.1407142857142857
2010,136267,CB,168,54,2,1,0,0,0.05648148148148147
2010,136267,CH,175,78,6,3,0,1,0.14423076923076922
2010,136267,CT,132,55,6,3,0,0,0.16636363636363638
2010,136267,FB,1142,495,39,10,0,13,0.1509292929292929
2010,136267,KN,13,8,1,0,0,0,0.11125
2010,136267,SF,28,10,1,0,0,0,0.08900000000000001
2010,136267,SL,267,111,10,1,0,1,0.11054054054054054
2010,136460,CB,235,125,8,3,0,5,0.17144
2010,136460,CH,211,108,4,4,0,2,0.11888888888888888
2010,136460,CT,149,94,5,5,0,1,0.1372340425531915
2010,136460,FB,1277,634,46,20,2,10,0.14287066246056782
2010,136460,KN,34,18,3,0,0,0,0.14833333333333332
2010,136460,SF,28,14,1,1,0,1,0.3042857142857143
2010,136460,SL,435,250,16,10,1,4,0.14784
2010,136500,CB,138,46,1,1,1,1,0.12782608695652176
2010,136500,CH,92,59,4,2,0,0,0.10338983050847456
2010,136500,CT,83,31,3,2,1,1,0.2880645161290322
2010,136500,FB,723,318,21,7,2,1,0.10352201257861636
2010,136500,KN,11,6,1,0,0,0,0.14833333333333334
